time,displacement
0.05,0
0.1,14.11
0.15,19.9
0.2,24.31
0.25,28.0
0.3,31.22
0.35,34.12
0.4,36.76
0.45,39.19
0.5,41.46
0.55,43.59
0.6,45.6
0.65,47.5
0.7,49.31
0.75,51.03
0.8,52.68
0.85,54.26
0.9,55.78
0.95,57.24
1.0,58.64
1.05,60.0
1.1,61.31
1.15,62.58
1.2,63.8
1.25,64.99
1.3,66.14
1.35,67.26
1.4,68.34
1.45,69.4
1.5,70.42
1.55,71.41
1.6,72.38
1.65,73.32
1.7,74.24
1.75,75.13
1.8,75.99
1.85,76.84
1.9,77.66
1.95,78.46
2.0,79.24
2.05,80.0
2.1,80.74
2.15,81.46
2.2,82.16
2.25,82.85
2.3,83.52
2.35,84.17
2.4,84.8
2.45,85.42
2.5,86.02
2.55,86.6
2.6,87.17
2.65,87.73
2.7,88.27
2.75,88.79
2.8,89.3
2.85,89.8
2.9,90.28
2.95,90.75
3.0,91.21
3.05,91.65
3.1,92.08
3.15,92.5
3.2,92.9
3.25,93.3
3.3,93.67
3.35,94.04
3.4,94.4
3.45,94.74
3.5,95.07
3.55,95.39
3.6,95.7
3.65,96.0
3.7,96.29
3.75,96.56
3.8,96.82
3.85,97.08
3.9,97.32
3.95,97.55
4.0,97.77
4.05,97.98
4.1,98.18
4.15,98.37
4.2,98.54
4.25,98.71
4.3,98.87
4.35,99.02
4.4,99.15
4.45,99.28
4.5,99.39
4.55,99.5
4.6,99.59
4.65,99.68
4.7,99.75
4.75,99.82
4.8,99.87
4.85,99.92
4.9,99.95
4.95,99.98
5.0,99.99
5.05,100.0
5.1,99.99
5.15,99.98
5.2,99.95
5.25,99.92
5.3,99.87
5.35,99.82
5.4,99.75
5.45,99.68
5.5,99.59
5.55,99.5
5.6,99.39
5.65,99.28
5.7,99.15
5.75,99.02
5.8,98.87
5.85,98.71
5.9,98.54
5.95,98.37
6.0,98.18
6.05,97.98
6.1,97.77
6.15,97.55
6.2,97.32
6.25,97.08
6.3,96.82
6.35,96.56
6.4,96.29
6.45,96.0
6.5,95.7
6.55,95.39
6.6,95.07
6.65,94.74
6.7,94.4
6.75,94.04
6.8,93.67
6.85,93.3
6.9,92.9
6.95,92.5
7.0,92.08
7.05,91.65
7.1,91.21
7.15,90.75
7.2,90.28
7.25,89.8
7.3,89.3
7.35,88.79
7.4,88.27
7.45,87.73
7.5,87.17
7.55,86.6
7.6,86.02
7.65,85.42
7.7,84.8
7.75,84.17
7.8,83.52
7.85,82.85
7.9,82.16
7.95,81.46
8.0,80.74
8.05,80.0
8.1,79.24
8.15,78.46
8.2,77.66
8.25,76.84
8.3,75.99
8.35,75.13
8.4,74.24
8.45,73.32
8.5,72.38
8.55,71.41
8.6,70.42
8.65,69.4
8.7,68.34
8.75,67.26
8.8,66.14
8.85,64.99
8.9,63.8
8.95,62.58
9.0,61.31
9.05,60.0
9.1,58.64
9.15,57.24
9.2,55.78
9.25,54.26
9.3,52.68
9.35,51.03
9.4,49.31
9.45,47.5
9.5,45.6
9.55,43.59
9.6,41.46
9.65,39.19
9.7,36.76
9.75,34.12
9.8,31.22
9.85,28.0
9.9,24.31
9.95,19.9
10.0,14.11
10.05,-0.0
10.1,-14.11
10.15,-19.9
10.2,-24.31
10.25,-28.0
10.3,-31.22
10.35,-34.12
10.4,-36.76
10.45,-39.19
10.5,-41.46
10.55,-43.59
10.6,-45.6
10.65,-47.5
10.7,-49.31
10.75,-51.03
10.8,-52.68
10.85,-54.26
10.9,-55.78
10.95,-57.24
11.0,-58.64
11.05,-60.0
11.1,-61.31
11.15,-62.58
11.2,-63.8
11.25,-64.99
11.3,-66.14
11.35,-67.26
11.4,-68.34
11.45,-69.4
11.5,-70.42
11.55,-71.41
11.6,-72.38
11.65,-73.32
11.7,-74.24
11.75,-75.13
11.8,-75.99
11.85,-76.84
11.9,-77.66
11.95,-78.46
12.0,-79.24
12.05,-80.0
12.1,-80.74
12.15,-81.46
12.2,-82.16
12.25,-82.85
12.3,-83.52
12.35,-84.17
12.4,-84.8
12.45,-85.42
12.5,-86.02
12.55,-86.6
12.6,-87.17
12.65,-87.73
12.7,-88.27
12.75,-88.79
12.8,-89.3
12.85,-89.8
12.9,-90.28
12.95,-90.75
13.0,-91.21
13.05,-91.65
13.1,-92.08
13.15,-92.5
13.2,-92.9
13.25,-93.3
13.3,-93.67
13.35,-94.04
13.4,-94.4
13.45,-94.74
13.5,-95.07
13.55,-95.39
13.6,-95.7
13.65,-96.0
13.7,-96.29
13.75,-96.56
13.8,-96.82
13.85,-97.08
13.9,-97.32
13.95,-97.55
14.0,-97.77
14.05,-97.98
14.1,-98.18
14.15,-98.37
14.2,-98.54
14.25,-98.71
14.3,-98.87
14.35,-99.02
14.4,-99.15
14.45,-99.28
14.5,-99.39
